module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMad Delivery Estimator,_meta,,,,,,,,,false,{project-root}/skills/reports/estimation-module-plan.md,
BMad Delivery Estimator,est-setup,Set Up Estimator,SU,"Install or update Delivery Estimator config, seed the cost model and scaffold module memory.",configure,{-H: headless mode}|{inline values: skip prompts with provided values},anytime,,est-scope-extract:create,true,{project-root}/_bmad,config and seeded _bmad/memory/est
BMad Delivery Estimator,est-scope-extract,Extract Scope,XS,"Turn any document — transcript, PRD, SOW, RFP, backlog workbook, any language — into a Feature Inventory where every line cites the source text it came from.",create,{-H: headless mode}|{paths: files or folders to read},anytime,est-setup:configure,est-estimate:estimate,false,est_output_folder,"feature-inventory.json, extraction-report.md, normalized sources"
BMad Delivery Estimator,est-scope-extract,Recheck Scope,XV,"Re-verify an inventory against its sources before it feeds an estimate — every quote, every anchor, every unreferenced passage.",validate,{path: inventory to check},anytime,est-scope-extract:create,est-estimate:estimate,false,est_output_folder,check.json
BMad Delivery Estimator,est-scope-extract,Diff Scope,XD,"The client sent v2. Diff the inventories so added scope becomes visible and priceable instead of absorbed silently.",update,{paths: revised sources},anytime,est-scope-extract:create,est-estimate:estimate,false,est_output_folder,"updated feature-inventory.json, conflicts list"
BMad Delivery Estimator,est-estimate,Estimate,EP,"Price a Feature Inventory into a ranged, role-split estimate decomposed along the real BMad phases. Band width is computed from input completeness, never chosen.",estimate,{-H: headless mode}|{--mode presale|delivery}|{--team-profile}|{--team-size},anytime,est-scope-extract:create,est-calibrate:ingest-actuals,false,est_output_folder,"estimate.json, estimate.md, estimate.csv, interactive estimate.html, ledger entry"
BMad Delivery Estimator,est-estimate,Quick Estimate,EQ,"A go/no-go in minutes: is this a 400-hour deal or a 4,000-hour one? Totals and risk only, and deliberately records no ledger entry.",estimate,{--mode quick},anytime,est-scope-extract:create,,false,est_output_folder,estimate.md
BMad Delivery Estimator,est-agent-estimator,Talk to Nadia,NA,"Explain a number line by line, defend it under challenge, rehearse the client call, price a what-if or a change request, fit scope to a budget, or triage which deal to work first.",activate,{project or question: what you want to talk about},anytime,est-estimate:estimate,,false,est_output_folder,"scenario re-prices, cut lines, curated cost model, company-profile.md"
BMad Delivery Estimator,est-calibrate,Record Actuals,CI,"Attach real spent hours to a delivered estimate. A single project total with its scope and exclusions is enough to start calibrating.",ingest-actuals,{--entry: ledger entry}|{--from-export: time-tracking csv}|{--total: hours},anytime,est-estimate:estimate,est-calibrate:calibrate,false,{project-root}/_bmad/memory/est/ledger,ledger entry with actuals attached
BMad Delivery Estimator,est-calibrate,Calibrate,KA,"Turn delivered actuals into evidence-backed coefficient changes — backtested against history, human-approved, logged and reversible. Most runs should propose nothing.",calibrate,{--report-only: analyse without touching the model},anytime,est-calibrate:ingest-actuals,,false,{project-root}/_bmad/memory/est,"updated cost-model.json, calibration-log.md, accuracy report"
BMad Delivery Estimator,est-calibrate,Accuracy Report,AR,"How accurate are our estimates? Estimate-versus-actual over time, and which projects never came back with hours.",report-only,{-H: headless mode},anytime,est-estimate:estimate,,false,est_output_folder,"accuracy-report.html, accuracy-brief.json"
